id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
1,2025年肥西县高成长企业培育项目,2025/7/4,工程,政府采购,安徽省,合肥市,肥西县,2025AEEFN00138,肥西县科学技术局,肥西县公共资源交易有限责任公司,80,安徽省合肥市肥西县上派镇青龙路与站下路交叉口,合同签订后至2026年3月31日,北京与仁科技服务有限公司,790000,2025/7/18
2,包河区村（居）“量子云印章”服务,2025/6/30,服务,政府采购,安徽省,合肥市,包河区,2025ABBFN00064,中共合肥市包河区纪律检查委员会,合肥包河公共资源交易有限公司,50,安徽省合肥市包河区望湖街道包河大道118号,合同签订一年,中国电信股份有限公司合肥分公司,279888,2025/7/11
3,2025年紫云山托育中心厨房设备及餐具采购,2025/7/3,货物,政府采购,安徽省,合肥市,包河区,2025ABBHJ00070,合肥市包河区卫生健康委员会,合肥包河公共资源交易有限公司,54,安徽省合肥市包河区望湖街道包河大道118号,合同生效后一个月内完成供货及安装,安徽环宝厨房设备制造有限公司,483000,2025/7/11
4,2025年紫云山托育中心其他设施设备采购,2025/7/1,货物,政府采购,安徽省,合肥市,包河区,2025ABBHJ00066,合肥市包河区卫生健康委员会,合肥包河公共资源交易有限公司,41.87,安徽省合肥市包河区望湖街道包河大道118号,10天,"合肥领先未来电子科技有限公司,合肥声宝电子有限公司",132100,2025/7/11
5,2025年合肥六中百花井校区物业服务采购,2025/6/20,服务,政府采购,安徽省,合肥市,,2025BFFFZ01496,合肥市第六中学,合肥市政府采购中心,89.96,合肥市庐阳区长江路397号,合同服务期为1年。合同到期前，经考核合格后，在年度预算能够保障的前提下可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,安徽创源智慧后勤服务集团有限公司,888769.93,2025/7/11
6,2025年合肥市食品药品安全检验检测中心专项设备购置（2次）,2025/6/19,货物,政府采购,安徽省,合肥市,,2025BFFHZ01473,合肥市食品药品安全检验检测中心,安徽公共资源交易集团项目管理有限公司,350,合肥市蜀山区文曲路355号,45天,安徽国仪进出口贸易有限公司,3485000,2025/7/11
7,上海中医药大学附属曙光医院安徽医院采购CBCT、牙周治疗仪、高速手机（补牙）等囗腔科设备,2025/6/13,货物,政府采购,安徽省,合肥市,,2025AFAHZ01373,安徽中医药大学第一附属医院（安徽省中医院）,安徽安天利信工程管理股份有限公司,87.7,安徽省合肥市蜀山区五里墩街道史河路45号,30日历天,合肥洁皓贸易有限公司,456000,2025/7/11
8,合肥大学2025年学生公寓家具购置项目,2025/6/19,货物,政府采购,安徽省,合肥市,,2025BFAHZ01468,合肥大学,安徽省政府采购中心,309.32,合肥市蜀山区锦绣大道99号,合同签订后至2025年8月20日前完成供货及安装,安徽恒洋普实验设备有限公司,1793450,2025/7/11
9,合肥大学2025年智慧房产综合管理系统采购项目,2025/6/20,服务,政府采购,安徽省,合肥市,,2025BFAFZ01482,合肥大学,安徽省政府采购中心,55,合肥市蜀山区锦绣大道99号,合同签订后120个日历日内完成系统建设，项目验收合格之日起3年免费系统质保服务,河南师慧信息技术有限公司,444000,2025/7/11
10,安徽城市管理职业学院2025年智慧康养现代产业学院,2025/6/20,服务,政府采购,安徽省,合肥市,,2025BFAHZ01495,安徽城市管理职业学院,安徽省政府采购中心,75,合肥市瑶海区淮海大道300号,60个日历日内,南京悦莱信息科技有限公司,739500,2025/7/11
11,安徽省应急避难场所专项规划（2025-2035年）编制咨询服务,2025/6/18,服务,政府采购,安徽省,合肥市,包河区,2025AFAFZ01452,安徽省应急管理厅,中金招标有限责任公司,80,安徽省合肥市包河区包公街道马鞍山路509号,270日历天,合肥工业大学设计院（集团）有限公司,580000,2025/7/11
12,安徽省福利彩票发行中心2024年机房软硬件更新购置,2025/6/20,货物,政府采购,安徽省,合肥市,,2025BFAHZ01489,安徽省福利彩票发行中心,安徽省政府采购中心,290,合肥市蜀山区梅山路6号,合同生效后根据采购人需求供货安装,中国移动通信集团安徽有限公司,2889000,2025/7/11
13,智慧城市数据应用中心第二包：智慧城市数据采集项目,2025/6/19,服务,政府采购,安徽省,合肥市,,2025BFAHZ01469,安徽城市管理职业学院,安徽公共资源交易集团项目管理有限公司,58,合肥市瑶海区淮海大道300号,合同生效后45个工作日内完成供货及安装,广州南方测绘科技股份有限公司,569500,2025/7/11
14,全球英才合肥行活动,2025/7/11,服务,政府采购,安徽省,合肥市,,2025BFFFD01746,中共合肥市委组织部,合肥市政府采购中心,157.4,合肥市蜀山区东流路100号,2025年12月31日前完成。合同到期前，经考核合格后，在年度预算能够保障的前提下，经双方同意，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签,合肥市人才发展集团有限公司,1574030,2025/7/11
15,2025年合肥市教育系统网络安全监测管理服务项目,2025/6/19,服务,政府采购,安徽省,合肥市,,2025BFFFN01474,合肥市教育局,合肥市政府采购中心,66.8,合肥市蜀山区天鹅湖路558号,365（日历天）,中检集团天帷网络安全技术（合肥）有限公司,666800,2025/7/11
16,安徽审计职业学院学生公寓及1#实训楼A楼改造工程项目,2025/6/24,工程,政府采购,安徽省,合肥市,,2025AFAZN01531,安徽审计职业学院,安徽安天利信工程管理股份有限公司,920,安徽省合肥市蜀山区合肥蜀山经济技术开发区方兴大道509号,45日历天,安徽三乐建设工程有限公司,5886997.21,2025/7/11
17,安徽工业经济职业技术学院校内景观绿化工程,2025/6/27,工程,政府采购,安徽省,合肥市,,2025BFAZN01586,安徽工业经济职业技术学院,安徽公共资源交易集团项目管理有限公司,580,合肥市包河区梁园路1号,100日历天,安徽创升建设工程有限公司,4000000,2025/7/11
18,安徽省地质博物馆展厅南楼楼顶翻修改造,2025/6/30,工程,政府采购,安徽省,合肥市,,2025BFAZN01604,安徽省地质博物馆,安徽公共资源交易集团项目管理有限公司,201,合肥市政务区仙龙湖路999号,150日历天,淮南建工建筑工程有限公司,1547592.36,2025/7/11
19,省体育局（体彩中心）存量政务信息系统（2024）整合迁移项目,2025/6/26,服务,政府采购,安徽省,合肥市,,2025BFAFN01564,安徽省体育彩票管理中心,安徽省政府采购中心,51.6,合肥市包河区芜湖路51号,第1包：自合同签订之日起，与第2包成交供应商密切配合，1个月内整体完成详细设计，交由第2包成交供应商实施建设，后期持续完善，3个月内整体完成设计工作。第2包：自合同签订之日起，与第1包中标人密切配合，3个月内完成系统迁移开发，3个月内完成试运行，5个月内完成稳定运行并验收。第3包：自合同签订之日起至项目竣工验收完成。第4包：自合同签订之日起至项目竣工验收完成。,"杭州安信检测技术有限公司,安徽数安系统集成有限公司,广州市惟明智能科技有限公司",75600,2025/7/11
20,安徽大学龙河校区高等教育研究所和学报编辑部等场地改造项目,2025/7/2,工程,政府采购,安徽省,合肥市,,2025BFAZJ01617,安徽大学,安徽公共资源交易集团项目管理有限公司,68.3,合肥市蜀山区九龙路111号,40日历天,安徽众喜实业有限公司,346666.66,2025/7/11
21,庐江县人民医院2025年洗涤外包服务,2025/6/19,服务,政府采购,安徽省,合肥市,庐江县,2025ANNFZ00185,安徽省庐江县人民医院,合肥庐江公共资源交易有限公司,297.5,安徽省合肥市庐江县庐城镇文明中路32号,自合同签订之日起一年,芜湖海华之念保洁服务有限公司,1801080,2025/7/11
22,庐江县森林可持续经营试点项目（2025-2027年度）,2025/6/30,服务,政府采购,安徽省,合肥市,庐江县,2025ANNFN00207,庐江县林业和园林建设服务中心,安徽致远工程咨询有限公司,59.16,安徽省合肥市庐江县岗湾街道城中中路49号,自合同签订之日起至2027年底止。（服务期限暂定1080日历天）,安徽省友林林业技术发展有限公司,468600,2025/7/11
23,2025年肥东县农村房地一体确权登记颁证修补调查测绘,2025/6/26,服务,政府采购,安徽省,合肥市,肥东县,2025ADDFN00098,肥东县自然资源和规划局,肥东县公共资源交易有限公司,297,安徽省合肥市肥东县店埠镇站北路1号,365日历天,阜阳市测绘院有限责任公司,2514600,2025/7/11
24,2025年肥东县国防训练动员教育基地物业服务,2025/6/19,服务,政府采购,安徽省,合肥市,肥东县,2025ADDFY00092,肥东县直属机关事务管理中心,肥东县公共资源交易有限公司,200,安徽省合肥市肥东县店埠镇龙泉路8号,响应采购文件要求,安徽新华物业服务集团有限公司,1772343.94,2025/7/11
25,2025年长丰县村级电子政务外网服务租赁,2025/6/30,服务,政府采购,安徽省,合肥市,长丰县,2025ACCFN00214,长丰县数据资源管理局,长丰县公共资源交易有限责任公司,36.73,安徽省合肥市长丰县水湖镇吴山路与南一环路交口,服务期一年。合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年,中国移动通信集团安徽有限公司,367265,2025/7/11
26,长丰县2025年中型水库标准化管理达标创建项目（二次）,2025/6/30,服务,政府采购,安徽省,合肥市,长丰县,2025ACCFN00213,长丰县水务局,长丰县公共资源交易有限责任公司,180,安徽省合肥市长丰县水湖镇杨公路与南一环交口北部综合楼,120日历天,安徽沃特水务科技有限公司,1090000,2025/7/11
27,2025年合肥六中链路租赁,2025/6/19,服务,政府采购,安徽省,合肥市,,2025BFFFZ01477,合肥市第六中学,合肥市政府采购中心,36.18,合肥市庐阳区长江路397号,合同服务期为1年。合同到期前，经考核合格后，在年度预算能够保障的前提下可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,"中国电信股份有限公司合肥分公司,中国移动通信集团安徽有限公司",282000,2025/7/10
28,2025年合肥教育宣传专版专栏,2025/6/18,服务,政府采购,安徽省,合肥市,,2025BFFFZ01450,合肥市教育局,安徽公共资源交易集团项目管理有限公司,55,合肥市蜀山区天鹅湖路558号,合同签订后一年。合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,合肥日报传媒集团（合肥日报社）,348000,2025/7/10
29,2025年安徽省专精特新中小企业技术创新服务,2025/6/17,服务,政府采购,安徽省,合肥市,,2025BFAFZ01430,安徽省工业和信息化厅,安徽公共资源交易集团项目管理有限公司,65,合肥市包河区屯溪路306号,合同签订之日起至2025年10月31日,安徽三祥技术咨询有限公司,13000,2025/7/10
30,2025年度安徽省公安厅高速公路交通安全视频宣传服务项目（二次）,2025/6/10,服务,政府采购,安徽省,合肥市,,2025BFAFZ01329,安徽省公安厅交通警察总队高速公路直属支队,安徽省政府采购中心,90.66,合肥市庐阳区安庆路241号,合同签订之日起一年,安徽警网文化传媒科技有限公司,903600,2025/7/10
31,《皖美工赋》第三季系列融媒体节目制播,2025/6/17,服务,政府采购,安徽省,合肥市,,2025BFAFZ01435,安徽省工业和信息化厅,安徽公共资源交易集团项目管理有限公司,100,合肥市包河区屯溪路306号,合同签订后8个月完成服务内容,安徽广播电视台,999000,2025/7/10
32,合肥理工学院35kV变电站及供电外线运维,2025/6/18,服务,政府采购,安徽省,合肥市,,2025BFFFZ01461,合肥理工学院,安徽公共资源交易集团项目管理有限公司,42.5,合肥市巢湖市巢湖半岛生态科学城治中路6号,一年（自2025年8月31日至2026年8月31日）,安徽金鹏电力安装有限公司,370000,2025/7/10
33,合肥理工学院电子技术综合实验室建设项目,2025/6/18,工程,政府采购,安徽省,合肥市,,2025BFFHZ01460,合肥理工学院,安徽公共资源交易集团项目管理有限公司,257.8,合肥市巢湖市巢湖半岛生态科学城治中路6号,45个日历日,合肥立拓丰科技有限公司,2548750,2025/7/10
34,安庆师范大学特色资源绿色加工研究室大型设备采购项目（2次）,2025/6/19,货物,政府采购,安徽省,安庆市,,2025AFAHZ01472,安庆师范大学,安徽省招标集团股份有限公司,210,安徽省安庆市宜秀区集贤北路1318号,合同签订后30个日历天,合肥学林苑进出口贸易有限公司,2049300,2025/7/10
35,安徽建工技师学院望湖校区机房建设改造项目,2025/6/5,工程,政府采购,安徽省,合肥市,,2025BFAHZ01270,安徽建工技师学院,安徽省政府采购中心,105,合肥市包河区包河大道188号,45个日历天,安徽易优思科技股份有限公司,923000,2025/7/10
36,教练员、运动员参赛训练服装采购,2025/6/17,货物,政府采购,安徽省,合肥市,,2025BFFHZ01438,合肥市青少年体育促进中心,合肥市政府采购中心,45.8,合肥市庐阳区阜阳路191号,合同签订后7日内完成供货安装，质保期为验收合格之日起1年,合肥艾图爱体育用品有限公司,401312,2025/7/10
37,《合肥市城市基础设施更新改造重点领域实施方案》编制等技术服务,2025/6/18,服务,政府采购,安徽省,合肥市,,2025BFFFN01449,合肥市城乡建设局,安徽公共资源交易集团项目管理有限公司,350,合肥市庐阳区阜阳路51号,1095（日历天）,上海市政工程设计研究总院（集团）有限公司,3450000,2025/7/10
38,合肥文旅宣传片—科创科普游,2025/6/25,服务,政府采购,安徽省,合肥市,,2025BFFFN01535,合肥市文化和旅游局,安徽公共资源交易集团项目管理有限公司,30,合肥市政务区天鹅湖路558号,合同签订之日起至2025年11月30日,合肥合晚传媒有限公司,270000,2025/7/10
39,就业培训中心报告厅设施设备购置,2025/6/18,货物,政府采购,安徽省,合肥市,,2025ANNHZ00183,安徽省庐江教师进修学校（合肥商贸科技学校）,庐江县公共资源交易管理中心,215,安徽省合肥市庐江县东顾山街道S451路1号城东门泉水口附近,合同签订后90个日历日内完成安装、调试、培训,南京东大智能化系统有限公司,1555677.84,2025/7/10
40,校园一卡通系统购置,2025/6/19,货物,政府采购,安徽省,合肥市,,2025ANNHZ00186,安徽省庐江教师进修学校（合肥商贸科技学校）,安徽辰旭项目管理有限公司,269,安徽省合肥市庐江县东顾山街道S451路1号城东门泉水口附近,合同生效后60日内完成供货安装、调试、培训,中电信数智科技有限公司,1561538,2025/7/10
41,郭河镇元井村冷链仓储项目设备采购,2025/6/18,货物,政府采购,安徽省,合肥市,,2025ANNHZ00184,庐江县郭河镇人民政府,安徽辰旭项目管理有限公司,180,安徽省合肥市庐江县郭河镇朝阳路1号,合同生效后90日内完成供货安装、调试、培训,安徽叁陆壹制冷设备有限公司,1705340.25,2025/7/10
42,庐江县第三人民医院建设出入口、门前道路、病房楼改造提升工程1期项目,2025/6/27,工程,政府采购,安徽省,合肥市,庐江县,2025ANNZN00203,庐江县第三人民医院,安徽诺金工程造价咨询有限公司,290,安徽省合肥市庐江县庐城镇合铜路与世纪大道交叉口,90日历天,安徽勤硕建设工程有限公司,1128888.96,2025/7/10
43,2025年特种设备安全监测第三方技术服务外包,2025/6/24,服务,政府采购,安徽省,合肥市,,2025ALLFN00065,合肥市庐阳区市场监督管理局,合肥庐阳公共资源交易有限公司,80,安徽省合肥市庐阳区砀山路2199号,365（日历天）,济南市特种设备检验研究院(济南市电梯安全运行监控中心),780000,2025/7/10
44,2025年经开区快乐健身行动设施设备采购与安装,2025/6/9,货物,政府采购,安徽省,合肥市,经开区,2025AJJHZ00051,合肥经济技术开发区社会发展局,安徽公共资源交易集团项目管理有限公司,295,安徽省合肥市经开区翡翠路398号B座3楼,合同约定生效之日起至2025年08月31日前完成供货、安装、验收,无为浩森体育俱乐部有限公司,920000,2025/7/10
45,合肥经开区2025年各功能室、实验室、心理咨询室等教室设备采购与安装项目第3-4包,2025/6/18,货物,政府采购,安徽省,合肥市,经开区,2025AJJHZ00056,合肥经济技术开发区社会发展局,安徽公共资源交易集团项目管理有限公司,323.88,安徽省合肥市经开区翡翠路398号B座3楼,45个日历日内完成供货及安装,"安徽航天信息科技有限公司,安徽瑞智信创网络科技有限公司",1443031,2025/7/10
46,2025年石塘镇农村公益事业财政奖补亮化项目（二次）,2025/6/19,工程,政府采购,安徽省,合肥市,,2025ADDHZ00091,肥东县石塘镇人民政府,肥东县公共资源交易有限公司,867.24,安徽省合肥市肥东县石塘镇金桥街03号,合同签订后60天内完成供货及安装,扬州市泰如照明有限公司,6825500,2025/7/10
47,肥东县乡镇大气小型标准监测站运维服务项目,2025/6/27,服务,政府采购,安徽省,合肥市,肥东县,2025ADDFN00100,合肥市肥东县生态环境分局,肥东县公共资源交易有限公司,209,安徽省合肥市肥东县店埠镇唐杨路30号,首次服务期限为一年，本项目可续签合同，续签不得超过两次，总服务期限不超过三年（合同一年一签）,安徽宝龙环保科技有限公司,1688800,2025/7/10
48,2025肥东县国家教育考试网上巡查系统标准化考点建设,2025/7/4,服务,政府采购,安徽省,合肥市,肥东县,2025ADDHX00105,肥东县教育体育局,肥东县公共资源交易有限公司,186,安徽省合肥市肥东县店埠镇沿河东路57号,合同签订后35日历天完成供货安装调试,安徽省恒仁信息科技有限公司,1848000,2025/7/10
49,肥东县公安局SYS试剂耗材采购,2025/7/3,货物,政府采购,安徽省,合肥市,肥东县,2025ADDHX00103,肥东县公安局,肥东县公共资源交易有限公司,80,安徽省合肥市肥东县店埠镇撮镇路87号,30日历天,衡磊科技集团股份有限公司,782000,2025/7/10
50,官亭镇童大井村长寿菜泡制、加工三期厂房项目监理招标,2025/6/27,监理,政府采购,安徽省,合肥市,,2025AEEFN00128,肥西县官亭镇人民政府,肥西县公共资源交易有限责任公司,45,安徽省合肥市肥西县官亭镇馨芝秀电子商务产业园B14栋,监理服务期限约12个月,合肥市瑞元建设项目管理有限公司,112197.13,2025/7/10
51,肥西县民政局“朝夕相伴”老幼关爱服务,2025/6/27,服务,政府采购,安徽省,合肥市,肥西县,2025AEEFN00131,肥西县民政局,肥西县公共资源交易有限责任公司,211.3,安徽省合肥市肥西县上派镇三河路30号,自合同生效之日起一年,"合肥市庐阳区社彩社会工作服务中心,安徽省社家老年服务中心,合肥市民欣社会工作服务中心",520000,2025/7/10
52,2025年紫云山托育中心智能化系统项目,2025/6/27,服务,政府采购,安徽省,合肥市,包河区,2025ABBHN00063,合肥市包河区卫生健康委员会,合肥包河公共资源交易有限公司,58,安徽省合肥市包河区望湖街道包河大道118号,30日历天,安徽千诺互联科技发展有限公司,428000,2025/7/9
53,2025年度警犬驯养及基地运行维护项目第二包（2次）,2025/6/17,服务,政府采购,安徽省,合肥市,,2025BFAHZ01427,安徽省公安厅,安徽公共资源交易集团项目管理有限公司,75,合肥市庐阳区安庆路270号,合同签订后1年内,安徽蓝剑犬类训导咨询服务有限公司,736630,2025/7/9
54,2025年省级预算单位网络安全等级保护测评服务项目,2025/6/17,服务,政府采购,安徽省,合肥市,,2025BFAFZ01428,安徽省数据资源管理局,安徽公共资源交易集团项目管理有限公司,1842.55,合肥市包河区马鞍山北路509号,合同签订后6个月内完成项目服务内容,"中检集团天帷网络安全技术（合肥）有限公司,安徽省电子产品监督检验所,安正网络安全技术有限公司,北方实验室（沈阳）股份有限公司,安徽国康网络安全测评有限公司,安徽溯源电子科技有限公司,安徽信科共创信息安全测评有限公司,安徽科测信息技术有限公司",1674000,2025/7/9
55,合肥大学2025年配电房设备检测维护项目（二次）,2025/6/17,服务,政府采购,安徽省,合肥市,,2025AFFFZ01437,合肥大学,鼎信数智技术集团股份有限公司,55,安徽省合肥市经开区锦绣大道99号,2025年7月21日至2026年7月20日,合肥精锐电力工程有限公司,530000,2025/7/9
56,合肥理工学院公务交通车辆租赁,2025/6/17,服务,政府采购,安徽省,合肥市,,2025BFFFZ01433,合肥理工学院,合肥市政府采购中心,212,合肥市巢湖市黄麓镇治中路与塔山路交口,合同签订后一年。如中标人履约良好，主要服务内容无变化，且在年度预算能够保障的前提下，经采购人和中标人双方同意后可续签下一年合同，续签不超过2年，合同一年一签，合同金额内容不变。,合肥跃升汽车服务有限公司,1662500,2025/7/9
57,合肥理工学院安保,2025/6/13,服务,政府采购,安徽省,合肥市,,2025BFFFZ01382,合肥理工学院,安徽公共资源交易集团项目管理有限公司,152,合肥市巢湖市黄麓镇治中路与塔山路交口,2025年9月1日至2026年8月31日,安徽中天保安服务集团有限公司,1516861.99,2025/7/9
58,国产地理信息平台软件采购,2025/6/17,货物,政府采购,安徽省,合肥市,包河区,2025BFAHZ01425,安徽省第三测绘院,安徽公共资源交易集团项目管理有限公司,66.8,合肥市包河区锦绣大道与湖北路交叉口,合同签订后15个工作日完成供货、安装调试及培训,北京超图软件股份有限公司,620000,2025/7/9
59,安徽中澳科技职业学院人工智能实训设备,2025/6/17,货物,政府采购,安徽省,合肥市,,2025BFAHZ01422,安徽中澳科技职业学院,安徽省政府采购中心,75,合肥市庐阳区濉溪路312号,60个日历天,北京新大陆时代科技有限公司,739190,2025/7/9
60,安徽工业大学工程研究院智慧教学及先进技术设备更新项目（七）,2025/6/16,货物,政府采购,安徽省,马鞍山市,,2025BFAHZ01402,安徽工业大学,安徽公共资源交易集团项目管理有限公司,350,马鞍山市花山区湖东北路400号,150个日历天,"天津琛硕科技有限公司,仪衡（上海）进出口有限公司",1340000,2025/7/9
61,安徽工业经济职业技术学院长三角珠宝玉石鉴定加工中心建设项目,2025/6/17,工程,政府采购,安徽省,合肥市,,2025BFAHZ01439,安徽工业经济职业技术学院,安徽公共资源交易集团项目管理有限公司,139,合肥市包河区梁园路1号,20个日历天,深圳市韦特普科技有限公司,1385600,2025/7/9
62,安徽省科学技术厅“科技大脑”应用开发（二期）项目,2025/6/13,服务,政府采购,安徽省,合肥市,,2025BFAFZ01387,安徽省科学技术厅,安徽省政府采购中心,1425.01,合肥市包河区紫云路996号,自签订合同之日起至项目终验合格,"安徽省宏元信息技术有限公司,广东省电信规划设计院有限公司,北方实验室（沈阳）股份有限公司,安徽科测信息技术有限公司,合肥信息工程监理咨询有限公司,讯飞智元信息科技有限公司",7916,2025/7/9
63,安徽省科技馆2025年球幕影院外部全彩屏内容制作,2025/6/17,服务,政府采购,安徽省,合肥市,包河区,2025BFAFZ01445,安徽省科学技术馆,安徽公共资源交易集团项目管理有限公司,90,合肥市包河区环湖北路与包河大道交叉口,合同签订后1个月内完成视频方案制作；合同签订后5个月内完成视频制作，并在安徽省科技馆球幕影院外部全彩屏上正常运行；验收合格后1年内中标人需根据采购人要求对视频进行优化调整。,"深圳潮向创意展示有限公司,拾光影视传媒（天津）有限公司",438000,2025/7/9
64,2025年安徽农业大学外文数据库采购项目,2025/7/2,服务,政府采购,安徽省,合肥市,,2025BFAFD01622,安徽农业大学,安徽公共资源交易集团项目管理有限公司,641.99,安徽省合肥市蜀山区长江西路130号,合同签订后一年,"北京中科进出口有限责任公司,中国教育图书进出口有限公司,中国图书进出口（集团）有限公司,北京一博千禧科技有限公司,中国教育图书进出口有限公司,北京中科进出口有限责任公司,中国图书进出口（集团）有限公司,中国教育图书进出口有限公司,北京中科进出口有限责任公司,中国教育图书进出口有限公司,北京中科进出口有限责任公司,中国教育图书进出口有限公司,北京中科进出口有限责任公司,中国图书进出口（集团）有限公司,北京中科进出口有限责任公司,北京一博千禧科技有限公司,中国教育图书进出口有限公司,中国科技资料进出口有限责任公司,中国图书进出口（集团）有限公司",142053,2025/7/9
65,合肥文旅宣传片—合肥美食,2025/6/25,服务,政府采购,安徽省,合肥市,,2025BFFFN01537,合肥市文化和旅游局,安徽公共资源交易集团项目管理有限公司,30,合肥市政务区天鹅湖路558号,合同签订之日起至2025年11月30日,安徽凤凰有道传媒集团有限公司,285000,2025/7/9
66,安徽省小型水库雨水情自动测报设施更新改造咨询、抽检、审计服务第1包,2025/6/27,服务,政府采购,安徽省,合肥市,,2025BFAFN01577,安徽省水文局,安徽公共资源交易集团项目管理有限公司,91.5,合肥市包河区桐江路19号,合同签订之日起至通过竣工验收止,安徽科海建设项目管理有限公司,858000,2025/7/9
67,安徽省福利彩票发行中心2025年春联大礼包印制服务项目,2025/6/27,服务,政府采购,安徽省,合肥市,,2025BFAFN01573,安徽省福利彩票发行中心,安徽省政府采购中心,200,合肥市蜀山区梅山路6号,2025年11月30日前制作完成，确认合格后7日内完成供货,安徽新华印刷股份有限公司,1208000,2025/7/9
68,巢湖二中初中部校园网络保障,2025/6/5,服务,政府采购,安徽省,合肥市,,2025AMMHZ00077,巢湖市第二中学,安徽华正建设工程咨询有限公司,80,安徽省合肥市巢湖市卧牛山街道健康西路滨湖景城-东区西南侧约210米,,安徽冉冉云智能科技有限公司,780000,2025/7/9
69,2025年度罗河镇小型农田水利工程及基础设施管护,2025/6/27,工程,政府采购,安徽省,合肥市,,2025ANNZN00202,庐江县罗河镇人民政府,合肥国政工程管理有限公司,74.41,安徽省合肥市庐江县罗河镇府西路东1号,365日历天,庐江县和顺工程机械租赁服务部,678900,2025/7/9
70,庐江县森林可持续经营试点项目（2025-2027年度）—低效林改造,2025/6/27,服务,政府采购,安徽省,合肥市,庐江县,2025ANNFN00205,庐江县林业和园林建设服务中心,安徽致远工程咨询有限公司,150,安徽省合肥市庐江县岗湾街道城中中路49号,自合同签订之日起至2027年底止。（服务期限暂定1080日历天）,安徽构美生态景观有限公司,1240000,2025/7/9
71,泥河镇农创园民宿项目,2025/6/23,工程,政府采购,安徽省,合肥市,,2025ANNZN00197,庐江县泥河镇人民政府,安徽户部尚书企业管理有限公司,330,安徽省合肥市庐江县泥河镇政务区海神大道1号,220日历天,安徽伟工建设有限公司；中图设计有限公司,2569016,2025/7/9
72,肥东一中消防及围墙维修改造项目,2025/6/27,工程,政府采购,安徽省,合肥市,肥东县,2025ADDZN00101,肥东县教育体育局,肥东县公共资源交易有限公司,167,安徽省合肥市肥东县店埠镇沿河东路57号,40日历天,安徽圆明基建设集团有限公司,1365456.17,2025/7/9
73,2025年肥东县国防动员教育训练基地安保服务,2025/6/18,服务,政府采购,安徽省,合肥市,肥东县,2025ADDFY00089,肥东县直属机关事务管理中心,肥东县公共资源交易有限公司,42.4,安徽省合肥市肥东县店埠镇人民路与团结大道交口南侧50米,365（日历天）,肥东县保安服务有限公司,423000,2025/7/9
74,2025年县教体局部分学校空调采购,2025/6/17,货物,政府采购,安徽省,合肥市,,2025AEEHZ00116,肥西县教育体育局,肥西县公共资源交易有限责任公司,1700,安徽省合肥市肥西县上派镇佛光路与紫石路交叉口,45个日历天,"安徽胜荣电子电器有限公司,中徽机电科技股份有限公司,重庆星豫科技有限公司",3867880,2025/7/9
75,合肥高新区2025年区级体育事业补助羽毛球类赛事服务,2025/6/27,服务,政府采购,安徽省,合肥市,高新区,2025AGGFN00066,合肥高新技术产业开发区社会发展局,合肥高新公共资源交易有限公司,160,安徽省合肥市高新区望江西路860号,合同签订后1年,北体（合肥）体育科技有限公司,1555000,2025/7/9
76,2025年紫云山托育中心改造工程项目,2025/6/26,工程,政府采购,安徽省,合肥市,包河区,2025ABBZN00061,合肥市包河区卫生健康委员会,合肥包河公共资源交易有限公司,120,安徽省合肥市包河区望湖街道包河大道118号,40日历天,安徽省豪伟建设集团有限公司,981249.92,2025/7/8
77,农村公路建设养护巡检2包,2025/6/9,服务,政府采购,安徽省,合肥市,,2025AFAFZ01303,安徽省公路管理服务中心,安徽瑞邦工程造价有限公司,680,安徽省合肥市包河区芜湖路街道屯溪路528号,365日历天,安徽交检交通发展研究中心有限责任公司,6727000,2025/7/8
78,农村公路建设养护巡检1包,2025/6/5,工程,政府采购,安徽省,合肥市,,2025AFAFZ01275,安徽省公路管理服务中心,安徽瑞邦工程造价有限公司,300,安徽省合肥市包河区芜湖路街道屯溪路528号,365日历天,安徽交检交通发展研究中心有限责任公司,2945210,2025/7/8
79,合肥市气象综合防灾减灾系统建设工程（软件开发）,2025/6/16,服务,政府采购,安徽省,合肥市,,2025BFFFZ01405,合肥市气象局,合肥市政府采购中心,611.28,合肥市高新区大别山路与鸡鸣山路交口,自签订合同之日起6个月,安徽气象信息有限公司,5777700,2025/7/8
80,安徽工业大学工程研究院智慧教学及先进技术设备更新项目（十）,2025/6/16,货物,政府采购,安徽省,马鞍山市,,2025BFAHZ01401,安徽工业大学,安徽公共资源交易集团项目管理有限公司,65,马鞍山市花山区湖东北路400号,150个日历天,安徽嘉鑫仪器有限责任公司,648900,2025/7/8
81,蚌埠监狱安防监控系统升级改造项目,2025/6/16,服务,政府采购,安徽省,蚌埠市,,2025BFAHZ01399,安徽省蚌埠监狱,安徽公共资源交易集团项目管理有限公司,117,蚌埠市龙子湖区胜利东路11号,90个日历日内,中电信数智科技有限公司,1137970,2025/7/8
