id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
6776,合肥市谭岗路、杨岗路等6条道路监理-3标段,2023/10/17,监理,招标采购,安徽省,合肥市,,2023BFFBZ01821-3,合肥市滨湖新区建设投资有限公司,安徽公共资源交易集团项目管理有限公司,,合肥市滨湖新区建设投资有限公司,,上海三维工程建设咨询有限公司,4240000,2023/10/17
6778,马鞍山青浦工业园基础设施补短板项目工程量清单编制（二）项目,2023/10/17,工程,招标采购,安徽省,马鞍山市,,AHBTGC-2023-F-002,马鞍山经济技术开发区建设投资有限公司,安徽省柏途工程项目管理有限公司,,马鞍山经济技术开发区湖西南路2659号信成大厦4楼,,安徽恒信腾达项目管理咨询有限公司,45000,2023/10/17
6779,马鞍山青浦工业园基础设施补短板项目红星南门临时停车场及周边道路维护工程—南门停车场详勘、施工图设计，申东遗址及周边环境综合治理及海绵城市示范施工图设计,2023/10/17,施工,招标采购,安徽省,马鞍山市,,AHBTGC-2023-F-003,马鞍山经济技术开发区建设投资有限公司,安徽省柏途工程项目管理有限公司,,马鞍山经济技术开发区湖西南路2659号信成大厦4楼,,中城科泽工程设计集团有限责任公司,289000,2023/10/17
6780,安徽省烟草公司阜阳市公司2023年物流中心气体灭火系统七氟丙烷钢瓶检测,2023/10/17,服务,招标采购,安徽省,阜阳市,颍州区,,安徽省烟草公司阜阳市公司,锐驰项目管理有限公司,,阜阳市颍州开发区新阳大道2号,,福建圣泽欣建设有限公司,81600,2023/10/17
6781,安徽怀宁农村商业银行股份有限公司数字化运营一体化平台系统建设项目采购,2023/10/17,服务,招标采购,安徽省,安庆市,怀宁县,CW-2023-049,安徽怀宁农村商业银行股份有限公司,安徽创伟工程咨询有限公司,,安徽省安庆市怀宁县高河镇稼先路188号,,安徽指尖金服信息科技有限公司,2016000,2023/10/17
6782,肥西农村商业银行食堂承包经营服务采购项目,2023/10/17,服务,招标采购,安徽省,合肥市,肥西县,2023FXNJHQ710,安徽肥西农村商业银行股份有限公司,,,安徽肥西农村商业银行股份有限公司,,肥西县青年大餐厅有限公司,448800,2023/10/17
6783,2023年安庆市迎江区农产品质量安全专项检测项目,2023/10/17,服务,招标采购,安徽省,安庆市,迎江区,,安庆市迎江区农业农村局,安徽蔚澜工程咨询有限公司,,安庆市迎江区,,安徽省公众检验研究院有限公司,43520,2023/10/17
6784,寿县WBHX-PN-8#排泥区临时用地土地复垦项目（陶店回族乡）,2023/10/17,土地,招标采购,安徽省,淮南市,寿县,2023GCSX0169-1,寿县陶店回族乡人民政府,寿县寿州公共资源交易有限公司,,寿县陶店回族乡人民政府,,安徽省滨江路桥工程有限公司,6220773.98,2023/10/17
6785,阳光南岸二期项目电梯采购及安装项目,2023/10/17,货物,企业采购,安徽省,淮南市,寿县,2023GCSX0172-1,安徽新桥现代农业有限公司,寿县寿州公共资源交易有限公司,,安徽新桥现代农业有限公司,,安徽奥里奥克科技股份有限公司,8339600,2023/10/17
6786,2023年谢家集区杨公镇高标准农田建设改造提升项目一标段,2023/10/17,工程,招标采购,安徽省,淮南市,,2023GCHNG0375-1,淮南市杨公镇人民政府,安徽省鑫诚工程咨询有限公司,,淮南市杨公镇人民政府,,安徽协和建设工程有限公司,10681729.16,2023/10/17
6787,2023年谢家集区杨公镇高标准农田建设改造提升项目二标段,2023/10/17,工程,招标采购,安徽省,淮南市,,2023GCHNG0375-2,淮南市杨公镇人民政府,安徽省鑫诚工程咨询有限公司,,淮南市杨公镇人民政府,,安徽伟诚建设工程有限公司,5308368.71,2023/10/17
6788,合肥监管集中区干警备勤区警训用房配套工程项目（楼宇智能设备采购安装）,2023/10/17,工程,企业采购,安徽省,合肥市,,2023AFAAZ01685-2,安徽省监狱管理局,安徽中技工程咨询有限公司,,安徽省监狱管理局,,中移建设有限公司,2886781.5,2023/10/17
6789,合肥市庐阳房地产开发公司关于硒鼓的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,合肥市,庐阳区,2751451000000265839,合肥市庐阳房地产开发公司,,,合肥市庐阳房地产开发公司,,安徽诺得电子信息科技有限公司,4840,2023/10/17
6790,蚌埠市城乡规划展览馆关于卷筒纸的网上超市采购项目,2023/10/17,货物,企业采购,安徽省,蚌埠市,,2591451000000266325,蚌埠市城乡规划展览馆,,,蚌埠市城乡规划展览馆,,合肥徽屹隆商贸有限公司,1112,2023/10/17
6791,芜湖市中西医结合医院（湾沚区总医院）关于其它柜的网上超市采购项目,2023/10/17,医院,政府采购,安徽省,芜湖市,湾沚区,2681451000000265989,芜湖市中西医结合医院（湾沚区总医院）,,,安徽省芜湖市湾沚区芜屯南路9号,,芜湖县湾沚镇真诚电脑经营部,7030,2023/10/17
6792,桐城市公安局关于视频矩阵服务器的网上超市采购项目,2023/10/17,政府,政府采购,安徽省,安庆市,桐城市,2071451000000265113,桐城市公安局,,,桐城市公安局,,合肥好之网络科技有限公司,13500,2023/10/17
6793,安徽省公路工程技工学校关于主机的网上超市采购项目,2023/10/17,学校,政府采购,安徽省,合肥市,包河区,2881451000000266373,安徽省公路工程技工学校,,,安徽省合肥市包河大道252号,,安徽蓝饶智能科技有限公司,4950,2023/10/17
